Title,YouTube Link
The Biggest Ideas in the Universe | 7. Quantum Mechanics,https://www.youtube.com/watch?v=HI09kat_GeI&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=1&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 7 - Quantum Mechanics,https://www.youtube.com/watch?v=IB50S4J4c8k&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=17&amp;pp=iAQB
The Biggest Ideas in the Universe | 8. Entanglement,https://www.youtube.com/watch?v=IEBXFEQyPuw&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=11&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 8 - Entanglement,https://www.youtube.com/watch?v=KIs5mYNZ15o&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=31&amp;pp=iAQB
The Biggest Ideas in the Universe | 9. Fields,https://www.youtube.com/watch?v=KYfFCApo-Rg&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=10&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 9 - Fields,https://www.youtube.com/watch?v=Nm8DRUgmjZc&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=22&amp;pp=iAQB0gcJCX4JAYcqIYzv
The Biggest Ideas in the Universe | 10. Interactions,https://www.youtube.com/watch?v=OGgQ4-Ak9ew&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=25&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 10 - Interactions,https://www.youtube.com/watch?v=P2KPj7xS_Fo&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=43&amp;pp=iAQB
The Biggest Ideas in the Universe | 11. Renormalization,https://www.youtube.com/watch?v=PZozMO3wWfo&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=4&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 11 - Renormalization,https://www.youtube.com/watch?v=PaRGj5Phpm0&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=20&amp;pp=iAQB
The Biggest Ideas in the Universe | 12. Scale,https://www.youtube.com/watch?v=Qf_4vWO6UTk&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=45&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 12 - Scale,https://www.youtube.com/watch?v=TXgezspaGi8&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=27&amp;pp=iAQB
The Biggest Ideas in the Universe | 13. Geometry and Topology,https://www.youtube.com/watch?v=Xwpd_z-ipu4&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=21&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 13 - Geometry and Topology,https://www.youtube.com/watch?v=ZqphkIO7yt4&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=48&amp;pp=iAQB
The Biggest Ideas in the Universe | 14. Symmetry,https://www.youtube.com/watch?v=__aFwrR702U&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=46&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 14 - Symmetry,https://www.youtube.com/watch?v=b0sSHn2jSqk&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=47&amp;pp=iAQB
The Biggest Ideas in the Universe | 15. Gauge Theory,https://www.youtube.com/watch?v=cm22AogSULg&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=24&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 15 - Gauge Theory,https://www.youtube.com/watch?v=dQWn9NzvX4s&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=34&amp;pp=iAQB0gcJCX4JAYcqIYzv
The Biggest Ideas in the Universe | 16. Gravity,https://www.youtube.com/watch?v=hxR9RBujJUY&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=19&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 16 - Gravity,https://www.youtube.com/watch?v=kp1k90zNVLc&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=26&amp;pp=iAQB
The Biggest Ideas in the Universe | 17. Matter,https://www.youtube.com/watch?v=liVg8LCU6i4&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=3&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 17 - Matter,https://www.youtube.com/watch?v=m2qrXl0g0OE&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=5&amp;pp=iAQB
The Biggest Ideas in the Universe | 18. Atoms,https://www.youtube.com/watch?v=mDUgPJrXqRc&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=38&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 18 - Atoms,https://www.youtube.com/watch?v=rBPPOI5UIe0&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=40&amp;pp=iAQB0gcJCX4JAYcqIYzv
The Biggest Ideas in the Universe | 19. Probability and Randomness,https://www.youtube.com/watch?v=sZb64bZ07aE&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=6&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 19 - Probability and Randomness,https://www.youtube.com/watch?v=tBWNRo7rmuQ&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=9&amp;pp=iAQB
The Biggest Ideas in the Universe | 20. Entropy and Information,https://www.youtube.com/watch?v=tZQadPmTd84&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=44&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 20 - Entropy and Information,https://www.youtube.com/watch?v=x4-65D3Selo&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=37&amp;pp=iAQB
The Biggest Ideas in the Universe | 21. Emergence,https://www.youtube.com/watch?v=x6YWpe9xHMg&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=7&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 21 - Emergence,https://www.youtube.com/watch?v=yCxacFBLHIY&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=28&amp;pp=iAQB
The Biggest Ideas in the Universe | 22. Cosmology,https://www.youtube.com/watch?v=yZ1KSJbJAng&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=16&amp;pp=iAQB
The Biggest Ideas in the Universe | Q&amp;A 22 - Cosmology,https://www.youtube.com/watch?v=yj_ckNi_DCA&amp;list=PLrxfgDEc2NxZJcWcrxH3jyjUUrJlnoyzX&amp;index=36&amp;pp=iAQB
